Instance,Algorithme,Seed,Score,CPU-Used-Time (ms)
instances/atsp_rand_50_100.txt,first_improver_swap_descente,51,557,6.094000
instances/atsp_rand_50_100.txt,first_improver_swap_descente,52,573,2.231000
instances/atsp_rand_50_100.txt,first_improver_swap_descente,53,606,2.562000
instances/atsp_rand_50_100.txt,first_improver_swap_descente,54,645,2.799000
instances/atsp_rand_50_100.txt,first_improver_swap_descente,55,573,3.166000
instances/atsp_rand_50_100.txt,first_improver_swap_descente,56,627,2.796000
instances/atsp_rand_50_100.txt,first_improver_swap_descente,57,645,3.208000
instances/atsp_rand_50_100.txt,first_improver_swap_descente,58,659,2.176000
instances/atsp_rand_50_100.txt,first_improver_swap_descente,59,541,4.162000
instances/atsp_rand_50_100.txt,worst_improver_swap_descente,50,610,332.613000
instances/atsp_rand_50_100.txt,worst_improver_swap_descente,51,602,369.931000
instances/atsp_rand_50_100.txt,worst_improver_swap_descente,52,470,287.145000
instances/atsp_rand_50_100.txt,worst_improver_swap_descente,53,700,318.335000
instances/atsp_rand_50_100.txt,worst_improver_swap_descente,54,711,382.183000
instances/atsp_rand_50_100.txt,worst_improver_swap_descente,55,580,329.674000
instances/atsp_rand_50_100.txt,worst_improver_swap_descente,56,622,338.106000
instances/atsp_rand_50_100.txt,worst_improver_swap_descente,57,606,290.529000
instances/atsp_rand_50_100.txt,worst_improver_swap_descente,58,680,314.504000
instances/atsp_rand_50_100.txt,worst_improver_swap_descente,59,639,282.449000
instances/atsp_rand_50_100.txt,best_improver_2opt_descente,50,1066,6.585000
instances/atsp_rand_50_100.txt,best_improver_2opt_descente,51,1331,5.103000
instances/atsp_rand_50_100.txt,best_improver_2opt_descente,52,1140,4.572000
instances/atsp_rand_50_100.txt,best_improver_2opt_descente,53,1398,3.461000
instances/atsp_rand_50_100.txt,best_improver_2opt_descente,54,1224,5.240000
instances/atsp_rand_50_100.txt,best_improver_2opt_descente,55,1106,6.083000
instances/atsp_rand_50_100.txt,best_improver_2opt_descente,56,1309,4.433000
instances/atsp_rand_50_100.txt,best_improver_2opt_descente,57,1132,5.786000
instances/atsp_rand_50_100.txt,best_improver_2opt_descente,58,1195,6.083000
instances/atsp_rand_50_100.txt,best_improver_2opt_descente,59,1193,4.422000
instances/atsp_rand_50_100.txt,first_improver_2opt_descente,50,1030,8.496000
instances/atsp_rand_50_100.txt,first_improver_2opt_descente,51,989,9.333000
instances/atsp_rand_50_100.txt,first_improver_2opt_descente,52,1088,8.606000
instances/atsp_rand_50_100.txt,first_improver_2opt_descente,53,961,7.833000
instances/atsp_rand_50_100.txt,first_improver_2opt_descente,54,817,5.929000
instances/atsp_rand_50_100.txt,first_improver_2opt_descente,55,922,11.106000
instances/atsp_rand_50_100.txt,first_improver_2opt_descente,56,1034,9.927000
instances/atsp_rand_50_100.txt,first_improver_2opt_descente,57,947,5.113000
