Instance,Algorithme,Seed,Score,NbPertubations,MaxEval,CPU-Used-Time (ms)
instances/atsp_rand_50_75.txt,iterated_local_search_best_improver_2opt,50,1971,6,10,8.802000
instances/atsp_rand_50_75.txt,iterated_local_search_best_improver_2opt,50,1971,9,10,8.458000
instances/atsp_rand_50_75.txt,iterated_local_search_best_improver_2opt,51,2054,6,10,4.454000
instances/atsp_rand_50_75.txt,iterated_local_search_best_improver_2opt,51,2054,9,10,2.946000
instances/atsp_rand_50_75.txt,iterated_local_search_best_improver_2opt,52,1988,6,10,2.893000
instances/atsp_rand_50_75.txt,iterated_local_search_best_improver_2opt,52,1988,9,10,3.208000
instances/atsp_rand_50_75.txt,iterated_local_search_best_improver_2opt,53,2052,6,10,2.172000
instances/atsp_rand_50_75.txt,iterated_local_search_best_improver_2opt,53,2052,9,10,2.279000
instances/atsp_rand_50_75.txt,iterated_local_search_best_improver_2opt,54,1981,6,10,3.192000
instances/atsp_rand_50_75.txt,iterated_local_search_best_improver_2opt,54,1981,9,10,3.153000
instances/atsp_rand_50_75.txt,iterated_local_search_best_improver_2opt,55,2038,6,10,3.620000
instances/atsp_rand_50_75.txt,iterated_local_search_best_improver_2opt,55,2038,9,10,3.126000
instances/atsp_rand_50_75.txt,iterated_local_search_best_improver_2opt,56,2034,6,10,2.857000
instances/atsp_rand_50_75.txt,iterated_local_search_best_improver_2opt,56,2034,9,10,2.443000
instances/atsp_rand_50_75.txt,iterated_local_search_best_improver_2opt,57,2011,6,10,3.259000
instances/atsp_rand_50_75.txt,iterated_local_search_best_improver_2opt,57,2011,9,10,3.378000
instances/atsp_rand_50_75.txt,iterated_local_search_best_improver_2opt,58,2098,6,10,2.385000
instances/atsp_rand_50_75.txt,iterated_local_search_best_improver_2opt,58,2098,9,10,2.300000
instances/atsp_rand_50_75.txt,iterated_local_search_best_improver_2opt,59,1991,6,10,1.912000
instances/atsp_rand_50_75.txt,iterated_local_search_best_improver_2opt,59,1991,9,10,1.769000
instances/atsp_rand_50_75.txt,iterated_local_search_best_improver_swap,50,1710,6,10,0.984000
instances/atsp_rand_50_75.txt,iterated_local_search_best_improver_swap,50,1710,9,10,0.982000
instances/atsp_rand_50_75.txt,iterated_local_search_best_improver_swap,51,1721,6,10,1.629000
instances/atsp_rand_50_75.txt,iterated_local_search_best_improver_swap,51,1721,9,10,1.636000
instances/atsp_rand_50_75.txt,iterated_local_search_best_improver_swap,52,1726,6,10,1.729000
instances/atsp_rand_50_75.txt,iterated_local_search_best_improver_swap,52,1726,9,10,1.801000
instances/atsp_rand_50_75.txt,iterated_local_search_best_improver_swap,53,1717,6,10,1.340000
instances/atsp_rand_50_75.txt,iterated_local_search_best_improver_swap,53,1717,9,10,1.298000
instances/atsp_rand_50_75.txt,iterated_local_search_best_improver_swap,54,1678,6,10,1.483000
instances/atsp_rand_50_75.txt,iterated_local_search_best_improver_swap,54,1678,9,10,1.502000
instances/atsp_rand_50_75.txt,iterated_local_search_best_improver_swap,55,1738,6,10,1.672000
instances/atsp_rand_50_75.txt,iterated_local_search_best_improver_swap,55,1738,9,10,1.735000
instances/atsp_rand_50_75.txt,iterated_local_search_best_improver_swap,56,1710,6,10,1.892000
instances/atsp_rand_50_75.txt,iterated_local_search_best_improver_swap,56,1710,9,10,1.941000
instances/atsp_rand_50_75.txt,iterated_local_search_best_improver_swap,57,1735,6,10,1.394000
instances/atsp_rand_50_75.txt,iterated_local_search_best_improver_swap,57,1735,9,10,1.399000
instances/atsp_rand_50_75.txt,iterated_local_search_best_improver_swap,58,1718,6,10,2.020000
instances/atsp_rand_50_75.txt,iterated_local_search_best_improver_swap,58,1718,9,10,1.399000
instances/atsp_rand_50_75.txt,iterated_local_search_best_improver_swap,59,1720,6,10,1.579000
instances/atsp_rand_50_75.txt,iterated_local_search_best_improver_swap,59,1720,9,10,2.089000
instances/atsp_rand_50_75.txt,iterated_local_search_first_improver_2opt,50,1980,6,10,4.975000
instances/atsp_rand_50_75.txt,iterated_local_search_first_improver_2opt,50,1980,9,10,4.291000
instances/atsp_rand_50_75.txt,iterated_local_search_first_improver_2opt,51,1907,6,10,7.538000
instances/atsp_rand_50_75.txt,iterated_local_search_first_improver_2opt,51,1907,9,10,7.371000
instances/atsp_rand_50_75.txt,iterated_local_search_first_improver_2opt,52,1911,6,10,4.951000
instances/atsp_rand_50_75.txt,iterated_local_search_first_improver_2opt,52,1911,9,10,5.050000
instances/atsp_rand_50_75.txt,iterated_local_search_first_improver_2opt,53,1894,6,10,5.731000
instances/atsp_rand_50_75.txt,iterated_local_search_first_improver_2opt,53,1894,9,10,5.254000
instances/atsp_rand_50_75.txt,iterated_local_search_first_improver_2opt,54,2006,6,10,5.055000
instances/atsp_rand_50_75.txt,iterated_local_search_first_improver_2opt,54,2006,9,10,5.410000
instances/atsp_rand_50_75.txt,iterated_local_search_first_improver_2opt,55,1940,6,10,4.240000
instances/atsp_rand_50_75.txt,iterated_local_search_first_improver_2opt,55,1940,9,10,4.511000
instances/atsp_rand_50_75.txt,iterated_local_search_first_improver_2opt,56,1889,6,10,6.023000
instances/atsp_rand_50_75.txt,iterated_local_search_first_improver_2opt,56,1889,9,10,6.700000
instances/atsp_rand_50_75.txt,iterated_local_search_first_improver_2opt,57,2022,6,10,4.867000
instances/atsp_rand_50_75.txt,iterated_local_search_first_improver_2opt,57,2022,9,10,5.475000
instances/atsp_rand_50_75.txt,iterated_local_search_first_improver_2opt,58,1948,6,10,4.825000
instances/atsp_rand_50_75.txt,iterated_local_search_first_improver_2opt,58,1948,9,10,4.132000
instances/atsp_rand_50_75.txt,iterated_local_search_first_improver_2opt,59,1960,6,10,5.086000
instances/atsp_rand_50_75.txt,iterated_local_search_first_improver_2opt,59,1960,9,10,4.451000
instances/atsp_rand_50_75.txt,iterated_local_search_first_improver_swap,50,1781,6,10,0.130000
instances/atsp_rand_50_75.txt,iterated_local_search_first_improver_swap,50,1781,9,10,0.124000
instances/atsp_rand_50_75.txt,iterated_local_search_first_improver_swap,51,1753,6,10,0.130000
instances/atsp_rand_50_75.txt,iterated_local_search_first_improver_swap,51,1753,9,10,0.126000
instances/atsp_rand_50_75.txt,iterated_local_search_first_improver_swap,52,1727,6,10,0.133000
instances/atsp_rand_50_75.txt,iterated_local_search_first_improver_swap,52,1727,9,10,0.126000
instances/atsp_rand_50_75.txt,iterated_local_search_first_improver_swap,53,1737,6,10,0.186000
instances/atsp_rand_50_75.txt,iterated_local_search_first_improver_swap,53,1737,9,10,0.190000
instances/atsp_rand_50_75.txt,iterated_local_search_first_improver_swap,54,1734,6,10,0.167000
instances/atsp_rand_50_75.txt,iterated_local_search_first_improver_swap,54,1734,9,10,0.162000
instances/atsp_rand_50_75.txt,iterated_local_search_first_improver_swap,55,1710,6,10,0.155000
instances/atsp_rand_50_75.txt,iterated_local_search_first_improver_swap,55,1710,9,10,0.162000
instances/atsp_rand_50_75.txt,iterated_local_search_first_improver_swap,56,1757,6,10,0.124000
instances/atsp_rand_50_75.txt,iterated_local_search_first_improver_swap,56,1757,9,10,0.124000
instances/atsp_rand_50_75.txt,iterated_local_search_first_improver_swap,57,1794,6,10,0.119000
instances/atsp_rand_50_75.txt,iterated_local_search_first_improver_swap,57,1794,9,10,0.114000
instances/atsp_rand_50_75.txt,iterated_local_search_first_improver_swap,58,1730,6,10,0.189000
instances/atsp_rand_50_75.txt,iterated_local_search_first_improver_swap,58,1730,9,10,0.189000
instances/atsp_rand_50_75.txt,iterated_local_search_first_improver_swap,59,1734,6,10,0.153000
instances/atsp_rand_50_75.txt,iterated_local_search_first_improver_swap,59,1734,9,10,0.150000
instances/atsp_rand_50_100.txt,iterated_local_search_best_improver_2opt,50,1066,6,10,3.695000
instances/atsp_rand_50_100.txt,iterated_local_search_best_improver_2opt,50,1066,9,10,3.756000
instances/atsp_rand_50_100.txt,iterated_local_search_best_improver_2opt,51,1331,6,10,3.511000
instances/atsp_rand_50_100.txt,iterated_local_search_best_improver_2opt,51,1331,9,10,3.546000
instances/atsp_rand_50_100.txt,iterated_local_search_best_improver_2opt,52,1140,6,10,2.824000
instances/atsp_rand_50_100.txt,iterated_local_search_best_improver_2opt,52,1140,9,10,3.050000
instances/atsp_rand_50_100.txt,iterated_local_search_best_improver_2opt,53,1398,6,10,2.090000
instances/atsp_rand_50_100.txt,iterated_local_search_best_improver_2opt,53,1398,9,10,2.102000
instances/atsp_rand_50_100.txt,iterated_local_search_best_improver_2opt,54,1224,6,10,3.277000
instances/atsp_rand_50_100.txt,iterated_local_search_best_improver_2opt,54,1224,9,10,3.477000
instances/atsp_rand_50_100.txt,iterated_local_search_best_improver_2opt,55,1106,6,10,4.158000
