Instance,Algorithme,Seed,Score,CPU-Used-Time (ms)
instances/atsp_rand_50_100.txt,first_improver_swap_descente,51,557,0.294000
instances/atsp_rand_50_100.txt,first_improver_swap_descente,52,573,0.152000
instances/atsp_rand_50_100.txt,first_improver_swap_descente,53,606,0.148000
instances/atsp_rand_50_100.txt,first_improver_swap_descente,54,645,0.148000
instances/atsp_rand_50_100.txt,first_improver_swap_descente,55,573,0.182000
instances/atsp_rand_50_100.txt,first_improver_swap_descente,56,627,0.176000
instances/atsp_rand_50_100.txt,first_improver_swap_descente,57,645,0.174000
instances/atsp_rand_50_100.txt,first_improver_swap_descente,58,659,0.134000
instances/atsp_rand_50_100.txt,first_improver_swap_descente,59,541,0.211000
instances/atsp_rand_50_100.txt,worst_improver_swap_descente,50,610,22.747000
instances/atsp_rand_50_100.txt,worst_improver_swap_descente,51,602,24.978000
instances/atsp_rand_50_100.txt,worst_improver_swap_descente,52,470,22.427000
instances/atsp_rand_50_100.txt,worst_improver_swap_descente,53,700,25.651000
instances/atsp_rand_50_100.txt,worst_improver_swap_descente,54,711,27.451000
instances/atsp_rand_50_100.txt,worst_improver_swap_descente,55,580,24.499000
instances/atsp_rand_50_100.txt,worst_improver_swap_descente,56,622,28.191000
instances/atsp_rand_50_100.txt,worst_improver_swap_descente,57,606,21.730000
instances/atsp_rand_50_100.txt,worst_improver_swap_descente,58,680,22.322000
instances/atsp_rand_50_100.txt,worst_improver_swap_descente,59,639,19.389000
instances/atsp_rand_50_100.txt,best_improver_2opt_descente,50,1066,4.143000
instances/atsp_rand_50_100.txt,best_improver_2opt_descente,51,1331,3.833000
instances/atsp_rand_50_100.txt,best_improver_2opt_descente,52,1140,2.907000
instances/atsp_rand_50_100.txt,best_improver_2opt_descente,53,1398,2.022000
instances/atsp_rand_50_100.txt,best_improver_2opt_descente,54,1224,3.589000
instances/atsp_rand_50_100.txt,best_improver_2opt_descente,55,1106,4.174000
instances/atsp_rand_50_100.txt,best_improver_2opt_descente,56,1309,2.872000
