Instance,Algorithme,Seed,Score,Lambda,MaxEval,CPU-Used-Time (ms)
instances/atsp_rand_50_100.txt,sampled_walk_2opt,52,2314,9,100000,134.738000
instances/atsp_rand_50_100.txt,sampled_walk_2opt,53,2364,5,100000,249.856000
instances/atsp_rand_50_100.txt,sampled_walk_2opt,53,2224,9,100000,136.385000
instances/atsp_rand_50_100.txt,sampled_walk_2opt,54,2324,5,100000,248.855000
instances/atsp_rand_50_100.txt,sampled_walk_2opt,54,2376,9,100000,134.617000
instances/atsp_rand_50_100.txt,sampled_walk_2opt,55,2665,5,100000,249.628000
instances/atsp_rand_50_100.txt,sampled_walk_2opt,55,2462,9,100000,134.993000
instances/atsp_rand_50_100.txt,sampled_walk_2opt,56,2549,5,100000,250.343000
instances/atsp_rand_50_100.txt,sampled_walk_2opt,56,2589,9,100000,148.194000
instances/atsp_rand_50_100.txt,sampled_walk_2opt,57,2405,5,100000,251.957000
instances/atsp_rand_50_100.txt,sampled_walk_2opt,57,2186,9,100000,134.610000
instances/atsp_rand_50_100.txt,sampled_walk_2opt,58,2005,5,100000,252.092000
instances/atsp_rand_50_100.txt,sampled_walk_2opt,58,2332,9,100000,136.172000
instances/atsp_rand_50_100.txt,sampled_walk_2opt,59,2114,5,100000,250.533000
instances/atsp_rand_50_100.txt,sampled_walk_2opt,59,2030,9,100000,136.384000
instances/atsp_rand_60_50.txt,sampled_walk_swap,50,1524,5,100000,349.337000
instances/atsp_rand_60_50.txt,sampled_walk_swap,50,1543,9,100000,187.042000
instances/atsp_rand_60_50.txt,sampled_walk_swap,51,1754,5,100000,371.292000
instances/atsp_rand_60_50.txt,sampled_walk_swap,51,1696,9,100000,186.630000
instances/atsp_rand_60_50.txt,sampled_walk_swap,52,1841,5,100000,350.682000
instances/atsp_rand_60_50.txt,sampled_walk_swap,52,1779,9,100000,185.468000
instances/atsp_rand_60_50.txt,sampled_walk_swap,53,1685,5,100000,350.861000
instances/atsp_rand_60_50.txt,sampled_walk_swap,53,1681,9,100000,187.461000
instances/atsp_rand_60_50.txt,sampled_walk_swap,54,1838,5,100000,350.428000
instances/atsp_rand_60_50.txt,sampled_walk_swap,54,1787,9,100000,185.755000
instances/atsp_rand_60_50.txt,sampled_walk_swap,55,1731,5,100000,350.077000
instances/atsp_rand_60_50.txt,sampled_walk_swap,55,1669,9,100000,200.082000
instances/atsp_rand_60_50.txt,sampled_walk_swap,56,1676,5,100000,349.880000
instances/atsp_rand_60_50.txt,sampled_walk_swap,56,1685,9,100000,186.204000
instances/atsp_rand_60_50.txt,sampled_walk_swap,57,1699,5,100000,350.397000
instances/atsp_rand_60_50.txt,sampled_walk_swap,57,1650,9,100000,185.853000
instances/atsp_rand_60_50.txt,sampled_walk_swap,58,1608,5,100000,351.073000
instances/atsp_rand_60_50.txt,sampled_walk_swap,58,1626,9,100000,185.955000
instances/atsp_rand_60_50.txt,sampled_walk_swap,59,1671,5,100000,349.101000
instances/atsp_rand_60_50.txt,sampled_walk_swap,59,1650,9,100000,185.434000
instances/atsp_rand_60_50.txt,sampled_walk_2opt,50,1747,5,100000,365.556000
instances/atsp_rand_60_50.txt,sampled_walk_2opt,50,1616,9,100000,188.071000
instances/atsp_rand_60_50.txt,sampled_walk_2opt,51,1767,5,100000,351.573000
instances/atsp_rand_60_50.txt,sampled_walk_2opt,51,1564,9,100000,187.574000
instances/atsp_rand_60_50.txt,sampled_walk_2opt,52,1833,5,100000,352.257000
instances/atsp_rand_60_50.txt,sampled_walk_2opt,52,1754,9,100000,187.793000
instances/atsp_rand_60_50.txt,sampled_walk_2opt,53,1761,5,100000,350.928000
instances/atsp_rand_60_50.txt,sampled_walk_2opt,53,1788,9,100000,188.589000
instances/atsp_rand_60_50.txt,sampled_walk_2opt,54,1828,5,100000,353.477000
instances/atsp_rand_60_50.txt,sampled_walk_2opt,54,1639,9,100000,201.710000
instances/atsp_rand_60_50.txt,sampled_walk_2opt,55,1818,5,100000,351.981000
instances/atsp_rand_60_50.txt,sampled_walk_2opt,55,1654,9,100000,189.661000
instances/atsp_rand_60_50.txt,sampled_walk_2opt,56,1666,5,100000,350.709000
instances/atsp_rand_60_50.txt,sampled_walk_2opt,56,1709,9,100000,188.135000
instances/atsp_rand_60_50.txt,sampled_walk_2opt,57,1652,5,100000,354.244000
instances/atsp_rand_60_50.txt,sampled_walk_2opt,57,1630,9,100000,188.416000
instances/atsp_rand_60_50.txt,sampled_walk_2opt,58,1718,5,100000,351.889000
instances/atsp_rand_60_50.txt,sampled_walk_2opt,58,1642,9,100000,190.793000
instances/atsp_rand_60_50.txt,sampled_walk_2opt,59,1636,5,100000,407.377000
instances/atsp_rand_60_50.txt,sampled_walk_2opt,59,1541,9,100000,215.628000
instances/atsp_rand_60_100.txt,sampled_walk_swap,50,3511,5,100000,408.703000
instances/atsp_rand_60_100.txt,sampled_walk_swap,50,3207,9,100000,213.590000
instances/atsp_rand_60_100.txt,sampled_walk_swap,51,3459,5,100000,403.935000
instances/atsp_rand_60_100.txt,sampled_walk_swap,51,3409,9,100000,225.427000
instances/atsp_rand_60_100.txt,sampled_walk_swap,52,3639,5,100000,400.601000
instances/atsp_rand_60_100.txt,sampled_walk_swap,52,3724,9,100000,214.438000
instances/atsp_rand_60_100.txt,sampled_walk_swap,53,3640,5,100000,404.813000
instances/atsp_rand_60_100.txt,sampled_walk_swap,53,3569,9,100000,227.730000
instances/atsp_rand_60_100.txt,sampled_walk_swap,54,3733,5,100000,412.926000
instances/atsp_rand_60_100.txt,sampled_walk_swap,54,3602,9,100000,214.555000
instances/atsp_rand_60_100.txt,sampled_walk_swap,55,3595,5,100000,404.725000
instances/atsp_rand_60_100.txt,sampled_walk_swap,55,3677,9,100000,216.489000
instances/atsp_rand_60_100.txt,sampled_walk_swap,56,3712,5,100000,403.888000
instances/atsp_rand_60_100.txt,sampled_walk_swap,56,3599,9,100000,212.818000
instances/atsp_rand_60_100.txt,sampled_walk_swap,57,3651,5,100000,401.428000
instances/atsp_rand_60_100.txt,sampled_walk_swap,57,3614,9,100000,213.056000
instances/atsp_rand_60_100.txt,sampled_walk_swap,58,3841,5,100000,418.893000
instances/atsp_rand_60_100.txt,sampled_walk_swap,58,3305,9,100000,217.006000
instances/atsp_rand_60_100.txt,sampled_walk_swap,59,3563,5,100000,404.932000
instances/atsp_rand_60_100.txt,sampled_walk_swap,59,3520,9,100000,214.562000
instances/atsp_rand_60_100.txt,sampled_walk_2opt,50,3501,5,100000,402.091000
instances/atsp_rand_60_100.txt,sampled_walk_2opt,50,3406,9,100000,216.029000
instances/atsp_rand_60_100.txt,sampled_walk_2opt,51,3509,5,100000,400.975000
instances/atsp_rand_60_100.txt,sampled_walk_2opt,51,3225,9,100000,215.516000
instances/atsp_rand_60_100.txt,sampled_walk_2opt,52,3297,5,100000,400.328000
instances/atsp_rand_60_100.txt,sampled_walk_2opt,52,3259,9,100000,228.096000
instances/atsp_rand_60_100.txt,sampled_walk_2opt,53,3455,5,100000,411.557000
instances/atsp_rand_60_100.txt,sampled_walk_2opt,53,3657,9,100000,216.766000
instances/atsp_rand_60_100.txt,sampled_walk_2opt,54,3620,5,100000,407.376000
instances/atsp_rand_60_100.txt,sampled_walk_2opt,54,3576,9,100000,215.653000
instances/atsp_rand_60_100.txt,sampled_walk_2opt,55,3766,5,100000,401.548000
instances/atsp_rand_60_100.txt,sampled_walk_2opt,55,3653,9,100000,214.508000
instances/atsp_rand_60_100.txt,sampled_walk_2opt,56,3725,5,100000,399.238000
instances/atsp_rand_60_100.txt,sampled_walk_2opt,56,3266,9,100000,212.474000
instances/atsp_rand_60_100.txt,sampled_walk_2opt,57,3532,5,100000,415.425000
instances/atsp_rand_60_100.txt,sampled_walk_2opt,57,3233,9,100000,217.506000
instances/atsp_rand_60_100.txt,sampled_walk_2opt,58,3527,5,100000,398.898000
instances/atsp_rand_60_100.txt,sampled_walk_2opt,58,3703,9,100000,213.446000
instances/atsp_rand_60_100.txt,sampled_walk_2opt,59,3654,5,100000,399.331000
instances/atsp_rand_60_100.txt,sampled_walk_2opt,59,3403,9,100000,212.881000
instances/atsp_rand_70_55.txt,sampled_walk_swap,50,2088,5,100000,532.815000
instances/atsp_rand_70_55.txt,sampled_walk_swap,50,1951,9,100000,276.083000
instances/atsp_rand_70_55.txt,sampled_walk_swap,51,1768,5,100000,536.587000
instances/atsp_rand_70_55.txt,sampled_walk_swap,51,1775,9,100000,304.913000
instances/atsp_rand_70_55.txt,sampled_walk_swap,52,1727,5,100000,550.289000
instances/atsp_rand_70_55.txt,sampled_walk_swap,52,1786,9,100000,280.033000
instances/atsp_rand_70_55.txt,sampled_walk_swap,53,1700,5,100000,529.955000
instances/atsp_rand_70_55.txt,sampled_walk_swap,53,1892,9,100000,275.013000
instances/atsp_rand_70_55.txt,sampled_walk_swap,54,1989,5,100000,530.925000
instances/atsp_rand_70_55.txt,sampled_walk_swap,54,1763,9,100000,276.290000
instances/atsp_rand_70_55.txt,sampled_walk_swap,55,2080,5,100000,530.436000
instances/atsp_rand_70_55.txt,sampled_walk_swap,55,2051,9,100000,278.783000
instances/atsp_rand_70_55.txt,sampled_walk_swap,56,1849,5,100000,549.202000
instances/atsp_rand_70_55.txt,sampled_walk_swap,56,1966,9,100000,277.080000
instances/atsp_rand_70_55.txt,sampled_walk_swap,57,1840,5,100000,522.161000
instances/atsp_rand_70_55.txt,sampled_walk_swap,57,1905,9,100000,274.566000
instances/atsp_rand_70_55.txt,sampled_walk_swap,58,1920,5,100000,529.049000
instances/atsp_rand_70_55.txt,sampled_walk_swap,58,1915,9,100000,280.614000
instances/atsp_rand_70_55.txt,sampled_walk_swap,59,1899,5,100000,541.286000
instances/atsp_rand_70_55.txt,sampled_walk_swap,59,1725,9,100000,278.604000
instances/atsp_rand_70_55.txt,sampled_walk_2opt,50,1850,5,100000,548.376000
instances/atsp_rand_70_55.txt,sampled_walk_2opt,50,1763,9,100000,275.814000
