Instance,Algorithme,Seed,Score,CPU-Used-Time (ms)
instances/atsp_rand_50_100.txt,first_improver_swap_descente,51,557,3.200000
instances/atsp_rand_50_100.txt,first_improver_swap_descente,52,573,1.931000
instances/atsp_rand_50_100.txt,first_improver_swap_descente,53,606,1.521000
instances/atsp_rand_50_100.txt,first_improver_swap_descente,54,645,1.866000
instances/atsp_rand_50_100.txt,first_improver_swap_descente,55,573,2.642000
instances/atsp_rand_50_100.txt,first_improver_swap_descente,56,627,2.766000
instances/atsp_rand_50_100.txt,first_improver_swap_descente,57,645,2.474000
instances/atsp_rand_50_100.txt,first_improver_swap_descente,58,659,1.638000
instances/atsp_rand_50_100.txt,first_improver_swap_descente,59,541,2.353000
instances/atsp_rand_50_100.txt,worst_improver_swap_descente,50,610,216.310000
instances/atsp_rand_50_100.txt,worst_improver_swap_descente,51,602,232.013000
instances/atsp_rand_50_100.txt,worst_improver_swap_descente,52,470,210.615000
instances/atsp_rand_50_100.txt,worst_improver_swap_descente,53,700,234.476000
instances/atsp_rand_50_100.txt,worst_improver_swap_descente,54,711,254.475000
instances/atsp_rand_50_100.txt,worst_improver_swap_descente,55,580,223.865000
instances/atsp_rand_50_100.txt,worst_improver_swap_descente,56,622,252.888000
instances/atsp_rand_50_100.txt,worst_improver_swap_descente,57,606,198.516000
instances/atsp_rand_50_100.txt,worst_improver_swap_descente,58,680,207.738000
instances/atsp_rand_50_100.txt,worst_improver_swap_descente,59,639,180.860000
instances/atsp_rand_50_100.txt,best_improver_2opt_descente,50,1066,3.940000
instances/atsp_rand_50_100.txt,best_improver_2opt_descente,51,1331,3.706000
instances/atsp_rand_50_100.txt,best_improver_2opt_descente,52,1140,3.225000
instances/atsp_rand_50_100.txt,best_improver_2opt_descente,53,1398,2.168000
instances/atsp_rand_50_100.txt,best_improver_2opt_descente,54,1224,3.528000
instances/atsp_rand_50_100.txt,best_improver_2opt_descente,55,1106,4.854000
instances/atsp_rand_50_100.txt,best_improver_2opt_descente,56,1309,3.549000
instances/atsp_rand_50_100.txt,best_improver_2opt_descente,57,1132,3.920000
instances/atsp_rand_50_100.txt,best_improver_2opt_descente,58,1195,3.833000
instances/atsp_rand_50_100.txt,best_improver_2opt_descente,59,1193,3.163000
instances/atsp_rand_50_100.txt,first_improver_2opt_descente,50,1030,6.193000
instances/atsp_rand_50_100.txt,first_improver_2opt_descente,51,989,5.998000
instances/atsp_rand_50_100.txt,first_improver_2opt_descente,52,1088,6.020000
